gender,description,price,stars,reduction
femme,s3 basket montante femme tendance- blanc et rose,"3,990 DA",0.4,0.34
femme,er basket femme à platforme - orange / blanc,"2,190 DA",0.45,0.36
femme,b3d shoes basket femme souple  - daim / tissu - nude,"5,500 DA",0.0,0.0
femme,ideal shoes basket - simili cuir - blanc /  beige,"4,800 DA",0.5,0.0
femme,adidas chaussure femme originals equipment gazelle eqt ee5149,"12,800 DA",0.0,0.0
femme,megawell basket femme - souple et orthopédique - noir & blanc,"4,700 DA",0.5,0.0
femme,sport baskets femmes - noir,"3,500 DA",0.4,0.15
femme,baskets oversize,"2,900 DA",0.3,0.0
femme,basket femme - simili cuir / tissu - blanc / bleu,"3,200 DA",0.0,0.46
femme,basket a enfiler femme - noir.,"2,500 DA",0.3,0.58
femme,baskets femme -noir,"3,900 DA",0.0,0.0
femme,love it basket femme - beige,"2,990 DA",0.0,0.5
femme,er basket femme à platforme - jaune / blanc,"2,170 DA",0.47000000000000003,0.36
femme,us polo chaussure femme blanc - 101038439,"10,950 DA",0.0,0.0
femme,tongfei basket femme tongfei,"2,900 DA",0.0,0.0
femme,skechers basket femme - s155518/mlt - multicouleur,"11,900 DA",0.1,0.0
femme,girlhood basket femme - noir,"3,990 DA",0.0,0.33
femme,erynn basket femme a scratch - léopard / noir / blanc,"3,000 DA",0.0,0.25
femme,basket femme - simili cuir / tissu - blanc / rose,"3,800 DA",0.0,0.31
femme,tongfei basket femme tongfei,"2,900 DA",0.0,0.0
femme,bella baskets pour femme noir et blanche,"1,800 DA",0.0,0.58
femme,adidas basket femme vl court 2.0 sport et aventures tendance eg6155 - blanc et rose,"8,900 DA",0.48,0.0
femme,confomed basket femme - souple et orthopédique - rose,"4,200 DA",0.0,0.0
femme,us polo basketss femme - bleu ciel,"9,950 DA",0.0,0.0
femme,s3 basket femme - simili cuir / tissu - blanc / rose,"3,600 DA",0.42000000000000004,0.39
femme,fashion&bella basket femme simili cuir - blanc / jaune,"3,900 DA",0.5,0.13
femme,us polo basketss femme - blanc,"4,350 DA",0.32999999999999996,0.45
femme,basketss pour femme blanche et noir,"2,400 DA",0.35,0.47
femme,basketss pour femme blanche et beige,"2,400 DA",0.33999999999999997,0.47
femme,s3 baskets oversize simili cuir -blanche et verte,"3,200 DA",0.45,0.35
femme,esmara baskets – esmara – femme – noir,"3,000 DA",0.3,0.33
femme,killy basket femme souple  - daim / tissu - noir /beige,"3,800 DA",0.0,0.31
femme,megawell basket femme - souple et orthopédique - bleu & blanc,"4,700 DA",0.0,0.0
femme,megawell basket femme - souple et orthopédique - blanc,"4,700 DA",0.0,0.0
femme,kalasity baskets espadrilles en bache pour femme beige et doré et blanche,"1,700 DA",0.43,0.53
femme,adidas basket femme - fw8822 - noir,"14,900 DA",0.0,0.0
femme,b3d shoes basket pour femme  pink,"4,900 DA",0.0,0.42
femme,baskets femme  -  - rose clair.,"5,500 DA",0.0,0.0
femme,us polo chaussure femme noir - 101050756,"11,900 DA",0.0,0.0
femme,adidas 37 originals superstar 80s w noir,"10,620 DA",0.0,0.0
femme,girlhood basket femme - camel,"3,990 DA",0.0,0.33
femme,adidas basket femme - fw1646 - noir,"11,800 DA",0.0,0.0
femme,adidas baskets gazelle w rose,"10,620 DA",0.5,0.0
femme,girlhood basket femme - gris,"3,990 DA",0.0,0.33
femme,girlhood basket femme - noir,"3,990 DA",0.4,0.33
femme,bella basket pour femme noir et blache et rouge,"1,725 DA",0.5,0.6
femme,moow basket femme - argent,"2,500 DA",0.5,0.54
femme,baskets oversize,"2,900 DA",0.5,0.0
femme,adidas chaussure edgebounce 1.5,"10,400 DA",0.32999999999999996,0.27
femme,s3 baskets femme - en tissu - blanche,"2,800 DA",0.4,0.43
femme,b3d shoes basket femme souple  - daim / tissu -noir,"5,500 DA",0.5,0.0
femme,girlhood basket femme - beige,"3,990 DA",0.0,0.33
femme,b3d shoes basket pour femme  rouge,"4,900 DA",0.0,0.42
femme,us polo chaussure femme blanc - 101038421.,"10,990 DA",0.0,0.0
femme,us polo chaussure beige pour femme - ref : 101050937,"11,950 DA",0.0,0.0
femme,basket femme blanche et rose,"2,800 DA",0.5,0.0
femme,nike chaussure femme superrep groove chutney -ct1248-107,"18,000 DA",0.47000000000000003,0.0
femme,skechers basket femme  - s124401/mve - mauve,"11,900 DA",0.0,0.0
femme,us polo chaussure pour femme - blanc -100504668,"7,300 DA",0.0,0.33
femme,basket femme - blanc et rose,"3,200 DA",0.0,0.33
femme,girlhood basket femme - beige,"4,200 DA",0.37,0.3
femme,megawell confomed basket femme - souple et orthopédique - bleu/rose,"4,200 DA",0.45,0.0
femme,basket femme - jaune,"2,600 DA",0.5,0.3
femme,adidas baskets falcon w -femme-,"16,000 DA",0.0,0.15
femme,baskets oversize,"3,200 DA",0.25,0.0
femme,esmara baskets – sneakers – femme – noir,"3,000 DA",0.0,0.33
femme,love it basket femme - noir,"2,990 DA",0.0,0.5
femme,us polo chaussure femme blanc - 101038454,"12,450 DA",0.0,0.0
femme,skechers basket pour femme confortable - go run mojo 2.0 - magnify 16050 - noir,"7,999 DA",0.5,0.36
femme,us polo chaussure femme noir - 100605099,"6,550 DA",0.1,0.22
femme,esmara basket pour femme - trainers - vert,"3,000 DA",0.4,0.17
femme,s3 basket en tissu avec lacets - jaune,"3,200 DA",0.47000000000000003,0.31
femme,killy basket femme souple   -blanc,"3,500 DA",0.47000000000000003,0.0
femme,adidas basket femme - f36671 - noir,"7,999 DA",0.4,0.27
femme,nike basket  femme ci2164-400 - bleu,"10,900 DA",0.5,0.29
femme,confomed basket femme - souple et orthopédique - bleu/blanc,"4,200 DA",0.43,0.0
femme,baskets femme - tissu - noir,"1,599 DA",0.27999999999999997,0.47
femme,bella basket pour femme beige,"2,025 DA",0.0,0.53
femme,us polo baskets  femme - bleu nuit,"5,800 DA",0.0,0.2
femme,confomed basket femme - souple et orthopédique - noir/blanc,"4,200 DA",0.47000000000000003,0.0
femme,basket femme à platforme - blanc,"2,900 DA",0.2,0.36
femme,love it basket femme - noir,"2,990 DA",0.5,0.5
femme,b3d shoes basket femme souple  -  tissu filet  -blanc,"5,500 DA",0.0,0.35
femme,us polo chaussure femme blanc - 101038415.,"9,950 DA",0.0,0.0
femme,confomed basket femme - souple et orthopédique - noir/rose,"4,200 DA",0.0,0.0
femme,nike chaussure nike react element 55    - bq2728 103\bege,"12,999 DA",0.0,0.5
femme,nike basket -react live \cw1622-001,"11,500 DA",0.0,0.54
femme,basket femme souple  - daim / tissu - gris,"3,800 DA",0.43,0.1
femme,er basket femme a bande colorée - noir / gris / blanc,"2,190 DA",0.43,0.37
femme,er baskets femme a semelle crantée - rose,"2,470 DA",0.47000000000000003,0.31
femme,bella baskets pour femme bleu et blanche et noir,"3,900 DA",0.33999999999999997,0.0
femme,girlhood basket femme - bleu nuit,"3,990 DA",0.0,0.33
femme,moow basket femme - or,"3,700 DA",0.37,0.42
femme,basket femme - simili cuir / tissu - blanc / rose,"3,800 DA",0.5,0.36
femme,baskets oversize,"2,900 DA",0.3,0.0
femme,er basket femme à platforme - vert / blanc,"2,170 DA",0.45,0.36
femme,girlhood basket femme - blanc rosé,"3,990 DA",0.0,0.33
femme,er basket femme bi matiere - noir / gris,"2,170 DA",0.4,0.38
femme,er basket femme a motif animalier - gold,"3,470 DA",0.4,0.23
femme,b3d shoes basket pour femme  gris,"5,500 DA",0.0,0.35
femme,nike basket nike react element 55    - bq6166-102 - blanc\noire,"12,500 DA",0.5,0.57
femme,er basket femme tri matières - vert pastel,"2,800 DA",0.4,0.2
femme,baskets compensée - beige,"3,900 DA",0.3,0.23
femme,er baskets femme à bande colorée - jaune / or / blanc,"2,190 DA",0.4,0.37
femme,baskets femme  - tissu - noir,"3,200 DA",0.4,0.0
femme,nike chaussure nike react renew lucent element 55    - bq4235 006 - noire,"11,999 DA",0.0,0.59
femme,b3d shoes basket femme souple  - daim / tissu -céleste,"5,500 DA",0.0,0.0
femme,moow basket femme - noir,"2,500 DA",0.43,0.54
femme,love it basket femme - bleu nuit,"3,200 DA",0.32999999999999996,0.47
femme,puma cali sport jr white-whisper -femme-,"12,000 DA",0.5,0.13
femme,love it basket femme - noir,"3,200 DA",0.27999999999999997,0.47
femme,moow basket femme - rose,"2,500 DA",0.4,0.54
femme,girlhood basket femme - blanc,"3,990 DA",0.4,0.33
femme,basket femme - noir,"2,200 DA",0.5,0.37
femme,moow baskets compensée - beige,"3,500 DA",0.0,0.31
femme,love it basket femme - noir,"3,200 DA",0.0,0.47
femme,girlhood basket femme - noir,"3,990 DA",0.5,0.26
femme,er basket femme a bande colorée - blanc / argent,"3,500 DA",0.5,0.0
femme,er basket femme montante en toile - rouge,"2,500 DA",0.45,0.17
femme,fashion&bella basket femme simili cuir - blanc / noir,"3,900 DA",0.45,0.13
femme,moow basket femme - champagne,"3,990 DA",0.4,0.38
femme,girlhood basket femme - rouge,"3,990 DA",0.0,0.33
femme,us polo chaussure femme vison - 101038417,"9,950 DA",0.5,0.0
femme,skechers basket femme  -  s149100/nvgr - multicouleur,"10,500 DA",0.0,0.0
femme,tongfei basket femme tongfei,"2,900 DA",0.0,0.0
femme,adidas samba og shoes b44691 rose,"11,800 DA",0.0,0.0
femme,esmara baskets - esmara - femme - gris,"3,200 DA",0.0,0.29
femme,reebok baskets femme - sneakers royal cl jogger 2 pink - rose,"7,900 DA",0.0,0.0
femme,stradivarius basket stradivarius - femme,"4,900 DA",0.0,0.17
femme,girlhood basket femme - rose,"3,990 DA",0.0,0.33
femme,esmara baskets– sneakers – esmara – femme – rose,"3,200 DA",0.0,0.29
femme,basket femme noir et bordeau,"2,500 DA",0.4,0.0
femme,asics gel-quantum 360 knit 2 1022a041-001,"16,800 DA",0.0,0.0
femme,girlhood basket femme - rose clair,"3,990 DA",0.0,0.33
femme,adidas basket femme  -  fv3139 - blanc,"9,900 DA",0.0,0.0
femme,baskets femme - gris,"2,600 DA",0.5,0.38
femme,skechers chaussure femme - s124307/nvy - bleu,"6,800 DA",0.0,0.43
femme,us polo chaussure femme rouge - 1027807vr030,"6,550 DA",0.4,0.22
femme,oggi baskets femmes vert militaire,"6,500 DA",0.0,0.13
femme,b3d shoes baskets femme  - en tissu avec semelle compensée  - rose clair.,"5,500 DA",0.0,0.0
femme,girlhood basket femme - vert,"3,990 DA",0.0,0.33
femme,b3d shoes basket femme souple  - daim / tissu - beige,"5,500 DA",0.0,0.0
femme,adidas basket femme - climacool fresh - gris,"6,800 DA",0.0,0.19
femme,b3d shoes basket femme souple  - daim / tissu - blanc  /,"5,500 DA",0.0,0.35
femme,basket femme souple  - daim / tissu - noir /,"4,700 DA",0.0,0.0
femme,megawell basket femme - souple et orthopédique - noir,"4,700 DA",0.0,0.0
femme,geox respira basket femme d825tb,"8,999 DA",0.0,0.3
femme,megawell basket femme - souple et orthopédique - gris,"4,700 DA",0.0,0.0
femme,kaporal baskets safia - noir,"4,000 DA",0.5,0.0
femme,us polo chaussure sally vert pour femme_100422440,"6,225 DA",0.0,0.5
femme,yl basket femme - noir,"3,200 DA",0.0,0.27
femme,us polo chaussure pour femme - rose-100301303,"4,500 DA",0.0,0.59
femme,megawell basket femme - souple et orthopédique - vert,"4,700 DA",0.0,0.0
femme,us polo baskets  femme - beige,"4,500 DA",0.0,0.59
femme,"geox respira geox b new balu' boy b, baskets basses bébé garçon","6,500 DA",0.0,0.0
femme,us polo chaussure pour femme - vr013-777859vr013,"6,100 DA",0.4,0.2
femme,megawell basket femme - souple et orthopédique - saumon,"4,700 DA",0.0,0.0
femme,tony p baskets femme - tissu - rose,"2,800 DA",0.0,0.43
femme,basket femme - noir,"3,200 DA",0.3,0.19
femme,be sport basket femme - marron,"3,200 DA",0.35,0.14
femme,oggi baskets femmes noir,"6,500 DA",0.0,0.13
femme,mizuno baskets unisexe - j1gf161809 - rose,"3,900 DA - 8,300 DA",0.43,0.53
femme,decathlon baskets femme - running - gris,"3,890 DA",0.45,0.22
femme,decathlon baskets femme - running - gris,"3,900 DA",0.44000000000000006,0.0
femme,decathlon baskets femme - running - gris,"3,890 DA",0.49000000000000005,0.0
femme,nike baskets femme - 749572-407 - bleu,"8,900 DA",0.35,0.26
femme,decathlon baskets femme - running - rose,"5,990 DA",0.0,0.0
femme,b3d shoes baskets femme - running - gris,"5,500 DA",0.5,0.0
femme,skechers basket femme - burst comfort - bleu marine,"6,999 DA",0.0,0.26
femme,decathlon baskets femme - running - rose,"5,950 DA",0.0,0.13
femme,reebok basket femme - royal glide syn c4975 orthopédique - bleu,"9,800 DA",0.1,0.0
femme,adidas basket  femme - gv9817 - blanc,"5,800 DA",0.45999999999999996,0.09
femme,adidas basket  femme - gv9819 - turquoi,"5,800 DA",0.41,0.09
femme,nike basket femme - bq5671-003 - noir,"7,400 DA",0.5,0.05
femme,zeta basket pour femme souple en maille respirante bleu,"1,500 DA",0.3,0.53
femme,skechers basket femme - s117169/gymt - multicouleur,"8,900 DA",0.5,0.1
femme,hi-tec basket femme - a006708/061 - multicouleur,"5,500 DA",0.37,0.0
femme,nike baskets femme - bq3207-2 - noir,"9,200 DA",0.47000000000000003,0.0
femme,palladium baskets femme - p76837-207-m - marron,"4,800 DA",0.47000000000000003,0.39
femme,adidas basket  femme en cuir - gz8082 - blanc,"7,900 DA",0.5,0.1
femme,nike basket femme - bq5671-021 - gris,"7,400 DA",0.43,0.05
femme,us polo baskets  femme - blanche - 100302735,"3,925 DA",0.4,0.5
femme,peak basket femme  -  ew12478h  - rose,"8,600 DA",0.0,0.11
femme,nike basket femme - da2776-003 - noir,"6,500 DA",0.0,0.04
femme,nike baskets femme - bq5671-21 - gris,"8,300 DA",0.48,0.0
femme,skechers basket femme - s100250/tpe - beige,"11,500 DA",0.0,0.0
femme,nike basket femme - dj2004-100 - blanc,"10,600 DA",0.0,0.1
femme,skechers baskets femme reggae fest 2.0 - marron,"12,500 DA",0.0,0.0
femme,skechers baskets femme summits - gris,"9,500 DA",0.0,0.0
femme,adidas basket  femme - gz8068 - blanc,"9,700 DA",0.0,0.1
femme,nike basket femme - bq5448-120 - blanc,"7,400 DA",0.0,0.05
femme,nike basket femme - bq5671-004 - gris,"7,000 DA",0.5,0.1
femme,reebok basket  femme - fx3209 - rose & gris,"9,800 DA",0.25,0.31
femme,hi-tec basket femme - h007141/070/004 - rose,"6,500 DA",0.5,0.0
femme,nike basket femme - da2776-601 - rose,"6,100 DA",0.45999999999999996,0.1
femme,sport basket sneakers san lacé lastiqui pour femme noir,"3,300 DA",0.1,0.0
femme,sport basket sneakers san lacé lastiqui pour femme bleu,"3,300 DA",0.47000000000000003,0.0
femme,reebok basket  femme - fx1814 - rose & gris,"7,900 DA",0.43,0.24
femme,reebok basket  femme - g58718 - gris,"8,400 DA",0.5,0.24
homme,reebok baskets reebok homme - eh2692 - gris foncã©,"7,900 DA",0.43,0.0
homme,adidas basket homme - run falcon utra confortable cloudfoam tendance 2021 - noir,"8,200 DA",0.43,0.29
homme,kalenji baskets homme - ekiden one man - gris,"3,700 DA",0.41,0.0
homme,asics basket homme patriot 12 - bleu,"9,500 DA",0.5,0.0
homme,decathlon baskets homme - newfeel - gris,"3,450 DA",0.38,0.0
homme,under armour basket homme ua charged assert 9 - noir,"10,000 DA",0.0,0.0
homme,under armour basket homme ua charged assert 9 - bleu,"10,000 DA",0.0,0.0
homme,adidas basket unisexe tensaur run ultra-légère spécial marche sport longue durée- noir,"5,990 DA",0.43,0.33
homme,asics basket homme patriot 12 - noir / blanc,"9,500 DA",0.0,0.0
homme,adidas basket unisexe tensaur run ultra-légère spécial marche sport longue durée- noir,"6,950 DA",0.2,0.22
homme,decathlon baskets homme -  ekiden one man - gris,"3,890 DA",0.43,0.0
homme,decathlon baskets homme - newfeel - gris,"3,100 DA",0.39,0.09
homme,joma baskets running homme - vitaly - gris/bleu,"4,700 DA",0.42000000000000004,0.2
homme,adidas baskets homme fluidflow - blanc,"11,000 DA",0.0,0.0
homme,decathlon baskets homme - newfeel - gris,"3,500 DA",0.38,0.0
homme,reebok baskets homme - vector runner - noir,"10,500 DA",0.0,0.0
homme,adidas baskets homme roguera - blanc,"8,900 DA",0.0,0.0
homme,adidas baskets homme roguera - noir,"9,500 DA",0.0,0.0
homme,adidas basket homme - galaxy 5 running utra confortable cloudfoam tendance 2021 - bleu,"9,800 DA",0.3,0.29
homme,reebok baskets homme - lite 2.0 - bleu nuit,"7,900 DA",0.0,0.0
homme,mizuno basket wave rider mizuno réf : d1ga1927-13 - homme - bleue,"12,000 DA",0.0,0.0
homme,adidas baskets homme roguera - noir,"9,800 DA",0.0,0.0
homme,decathlon baskets homme - noir,"8,700 DA",0.5,0.0
homme,decathlon baskets homme - newfeel - gris,"3,390 DA",0.32999999999999996,0.0
homme,decathlon baskets homme -  ekiden one man - gris,"3,890 DA",0.38,0.0
homme,decathlon baskets homme -  ekiden one man - gris,"3,750 DA",0.5,0.0
homme,adidas baskets homme roguera - noir,"8,900 DA",0.0,0.0
homme,puma baskets homme - evader xt v 2 - noir,"10,500 DA",0.0,0.0
homme,hi-tec basket homme - a001743/031 - bleu,"4,500 DA",0.45,0.0
homme,decathlon baskets homme - pw 140 - bleu,"5,199 DA",0.43,0.0
homme,baskets homme - noir respirante,"1,499 DA - 1,599 DA",0.32,0.44
homme,decathlon baskets homme - newfeel stepwalk -  bleu,"3,900 DA",0.0,0.13
homme,baskets homme - noir respirante,"1,499 DA",0.0,0.44
homme,baskets homme - noir respirante,"1,599 DA",0.32,0.41
homme,adidas basket homme retrorunner tendance suéde patronne de la mode simple fv7034 - noir,"5,900 DA",0.44000000000000006,0.46
homme,reebok basket homme - ultra tendance ex-o-fit hi montante cuir 3477 - blanc,"5,700 DA",0.42000000000000004,0.4
homme,adidas basket unisexe sneakers vl court 2.0 jnr tendance fashion street f36381 - noir,"4,990 DA",0.4,0.44
homme,baskets homme - noir respirante,"1,599 DA",0.37,0.41
homme,baskets homme - blanc respirante,"1,599 DA",0.31,0.41
homme,hi-tec basket homme - a006717/031 - noir,"5,900 DA",0.4,0.0
homme,baskets homme - gris respirante,"1,499 DA",0.4,0.5
homme,sayt rlae baskets homme - noir & rouge respirante,"1,499 DA",0.32,0.44
homme,adidas basket homme - run falcon utra confortable cloudfoam tendance 2021 - bleu,"7,900 DA",0.47000000000000003,0.31
homme,sayt rlae baskets homme - noir & blanc respirante,"1,499 DA",0.36,0.44
homme,baskets homme - noir rouge respirante,"1,499 DA - 1,599 DA",0.36,0.44
homme,adidas basket homme - run falcon utra confortable cloudfoam tendance 2021 - noir,"6,990 DA",0.31,0.29
homme,skechers basket homme - s232121/ccrd - gris,"8,300 DA",0.47000000000000003,0.3
homme,baskets homme - noir respirante,"1,499 DA - 1,599 DA",0.33999999999999997,0.44
homme,hi-tec basket homme - o007407/061 - multicouleur,"6,900 DA",0.48,0.0
