gender,description,stars,reduction,new_brand,avg_price,color,uni
femme,girlhood basket femme - noir,0.0,0.33,girlhood,3.99,noir,1
femme,erynn basket femme a scratch - léopard / noir / blanc,0.0,0.25,erynn,3.0,blanc noir,0
femme,tongfei basket femme tongfei,0.0,0.0,tongfei,2.9,None,1
femme,bella baskets pour femme noir et blanche,0.0,0.58,bella,1.8,blanche noir,0
femme,adidas basket femme vl court 2.0 sport et aventures tendance eg6155 - blanc et rose,0.48,0.0,adidas,8.9,rose blanc,0
femme,confomed basket femme - souple et orthopédique - rose,0.0,0.0,confomed,4.2,rose,1
femme,us polo basketss femme - bleu ciel,0.0,0.0,us polo,9.95,bleu,1
femme,s3 basket femme - simili cuir / tissu - blanc / rose,0.42000000000000004,0.39,s3,3.6,rose blanc,0
femme,fashion&bella basket femme simili cuir - blanc / jaune,0.5,0.13,fashion&bella,3.9,jaune blanc,0
femme,us polo basketss femme - blanc,0.32999999999999996,0.45,us polo,4.35,blanc,1
femme,s3 baskets oversize simili cuir -blanche et verte,0.45,0.35,s3,3.2,verte,1
femme,esmara baskets – esmara – femme – noir,0.3,0.33,esmara,3.0,noir,1
femme,killy basket femme souple  - daim / tissu - noir /beige,0.0,0.31,killy,3.8,noir,1
femme,megawell basket femme - souple et orthopédique - bleu & blanc,0.0,0.0,megawell,4.7,blanc bleu,0
femme,megawell basket femme - souple et orthopédique - blanc,0.0,0.0,megawell,4.7,blanc,1
femme,kalasity baskets espadrilles en bache pour femme beige et doré et blanche,0.43,0.53,kalasity,1.7,blanche beige,0
femme,adidas basket femme - fw8822 - noir,0.0,0.0,adidas,14.9,noir,1
femme,b3d shoes basket pour femme  pink,0.0,0.42,b3d shoes,4.9,pink,1
femme,us polo chaussure femme noir - 101050756,0.0,0.0,us polo,11.9,noir,1
femme,adidas 37 originals superstar 80s w noir,0.0,0.0,no name,10.62,noir,1
femme,girlhood basket femme - camel,0.0,0.33,girlhood,3.99,camel,1
femme,adidas basket femme - fw1646 - noir,0.0,0.0,adidas,11.8,noir,1
femme,adidas baskets gazelle w rose,0.5,0.0,adidas,10.62,rose,1
femme,girlhood basket femme - gris,0.0,0.33,girlhood,3.99,gris,1
femme,girlhood basket femme - noir,0.4,0.33,girlhood,3.99,noir,1
femme,bella basket pour femme noir et blache et rouge,0.5,0.6,bella,1.725,rouge noir,0
femme,moow basket femme - argent,0.5,0.54,moow,2.5,argent,1
femme,adidas chaussure edgebounce 1.5,0.32999999999999996,0.27,adidas,10.4,None,1
femme,s3 baskets femme - en tissu - blanche,0.4,0.43,s3,2.8,blanche,1
femme,b3d shoes basket femme souple  - daim / tissu -noir,0.5,0.0,b3d shoes,5.5,None,1
femme,girlhood basket femme - beige,0.0,0.33,girlhood,3.99,beige,1
femme,b3d shoes basket pour femme  rouge,0.0,0.42,b3d shoes,4.9,rouge,1
femme,us polo chaussure femme blanc - 101038421.,0.0,0.0,us polo,10.99,blanc,1
femme,us polo chaussure beige pour femme - ref : 101050937,0.0,0.0,us polo,11.95,beige,1
femme,nike chaussure femme superrep groove chutney -ct1248-107,0.47000000000000003,0.0,nike,18.0,None,1
femme,skechers basket femme  - s124401/mve - mauve,0.0,0.0,sketchers,11.9,mauve,1
femme,us polo chaussure pour femme - blanc -100504668,0.0,0.33,us polo,7.3,blanc,1
femme,girlhood basket femme - beige,0.37,0.3,girlhood,4.2,beige,1
femme,megawell confomed basket femme - souple et orthopédique - bleu/rose,0.45,0.0,megawell confomed,4.2,None,1
femme,adidas baskets falcon w -femme-,0.0,0.15,adidas,16.0,None,1
femme,esmara baskets – sneakers – femme – noir,0.0,0.33,esmara,3.0,noir,1
femme,love it basket femme - noir,0.0,0.5,love it,2.99,noir,1
femme,us polo chaussure femme blanc - 101038454,0.0,0.0,us polo,12.45,blanc,1
femme,skechers basket pour femme confortable - go run mojo 2.0 - magnify 16050 - noir,0.5,0.36,sketchers,7.999,noir,1
femme,us polo chaussure femme noir - 100605099,0.1,0.22,us polo,6.55,noir,1
femme,esmara basket pour femme - trainers - vert,0.4,0.17,esmara,3.0,vert,1
femme,s3 basket en tissu avec lacets - jaune,0.47000000000000003,0.31,s3,3.2,jaune,1
femme,killy basket femme souple   -blanc,0.47000000000000003,0.0,killy,3.5,None,1
femme,adidas basket femme - f36671 - noir,0.4,0.27,adidas,7.999,noir,1
femme,nike basket  femme ci2164-400 - bleu,0.5,0.29,nike,10.9,bleu,1
femme,confomed basket femme - souple et orthopédique - bleu/blanc,0.43,0.0,confomed,4.2,None,1
femme,bella basket pour femme beige,0.0,0.53,bella,2.025,beige,1
femme,us polo baskets  femme - bleu nuit,0.0,0.2,us polo,5.8,bleu,1
femme,confomed basket femme - souple et orthopédique - noir/blanc,0.47000000000000003,0.0,confomed,4.2,None,1
femme,love it basket femme - noir,0.5,0.5,love it,2.99,noir,1
femme,b3d shoes basket femme souple  -  tissu filet  -blanc,0.0,0.35,b3d shoes,5.5,None,1
femme,us polo chaussure femme blanc - 101038415.,0.0,0.0,us polo,9.95,blanc,1
femme,confomed basket femme - souple et orthopédique - noir/rose,0.0,0.0,confomed,4.2,None,1
femme,nike chaussure nike react element 55    - bq2728 103\bege,0.0,0.5,nike,12.999,None,1
femme,nike basket -react live \cw1622-001,0.0,0.54,nike,11.5,None,1
femme,er basket femme a bande colorée - noir / gris / blanc,0.43,0.37,er,2.19,blanc gris noir,0
femme,er baskets femme a semelle crantée - rose,0.47000000000000003,0.31,er,2.47,rose,1
femme,bella baskets pour femme bleu et blanche et noir,0.33999999999999997,0.0,bella,3.9,noir blanche bleu,0
femme,girlhood basket femme - bleu nuit,0.0,0.33,girlhood,3.99,bleu,1
femme,moow basket femme - or,0.37,0.42,moow,3.7,or,1
femme,er basket femme à platforme - vert / blanc,0.45,0.36,er,2.17,blanc vert,0
femme,girlhood basket femme - blanc rosé,0.0,0.33,girlhood,3.99,blanc,1
femme,er basket femme bi matiere - noir / gris,0.4,0.38,er,2.17,gris noir,0
femme,er basket femme a motif animalier - gold,0.4,0.23,er,3.47,gold,1
femme,b3d shoes basket pour femme  gris,0.0,0.35,b3d shoes,5.5,gris,1
femme,nike basket nike react element 55    - bq6166-102 - blanc\noire,0.5,0.57,nike,12.5,None,1
femme,er basket femme tri matières - vert pastel,0.4,0.2,er,2.8,vert,1
femme,er baskets femme à bande colorée - jaune / or / blanc,0.4,0.37,er,2.19,blanc or jaune,0
femme,nike chaussure nike react renew lucent element 55    - bq4235 006 - noire,0.0,0.59,nike,11.999,None,1
femme,b3d shoes basket femme souple  - daim / tissu -céleste,0.0,0.0,b3d shoes,5.5,None,1
femme,moow basket femme - noir,0.43,0.54,moow,2.5,noir,1
femme,love it basket femme - bleu nuit,0.32999999999999996,0.47,love it,3.2,bleu,1
femme,puma cali sport jr white-whisper -femme-,0.5,0.13,no name,12.0,None,1
femme,love it basket femme - noir,0.27999999999999997,0.47,love it,3.2,noir,1
femme,moow basket femme - rose,0.4,0.54,moow,2.5,rose,1
femme,girlhood basket femme - blanc,0.4,0.33,girlhood,3.99,blanc,1
femme,moow baskets compensée - beige,0.0,0.31,moow,3.5,beige,1
femme,love it basket femme - noir,0.0,0.47,love it,3.2,noir,1
femme,girlhood basket femme - noir,0.5,0.26,girlhood,3.99,noir,1
femme,er basket femme a bande colorée - blanc / argent,0.5,0.0,er,3.5,argent blanc,0
femme,er basket femme montante en toile - rouge,0.45,0.17,er,2.5,rouge,1
femme,fashion&bella basket femme simili cuir - blanc / noir,0.45,0.13,fashion&bella,3.9,noir blanc,0
femme,moow basket femme - champagne,0.4,0.38,moow,3.99,None,1
femme,girlhood basket femme - rouge,0.0,0.33,girlhood,3.99,rouge,1
femme,us polo chaussure femme vison - 101038417,0.5,0.0,us polo,9.95,None,1
femme,skechers basket femme  -  s149100/nvgr - multicouleur,0.0,0.0,sketchers,10.5,None,1
femme,tongfei basket femme tongfei,0.0,0.0,tongfei,2.9,None,1
femme,adidas samba og shoes b44691 rose,0.0,0.0,no name,11.8,rose,1
